+-----+----------------------------------------+-----------------+
| id  |                 title                  | production_code |
| 50  | The Snelfu Snafu                       | CYB052          |
| 49  | The Snelfu Snafu                       | CYB051          |
| 47  | A Perfect Fit                          | CYB050          |
| 52  | Starlight Night                        | CYB049          |
| 51  | Shari Spotter and the Cosmic Crumpets  | CYB048          |
| 48  | Be Reasonable                          | CYB047          |
| 45  | The Creech Who Would be Crowned        | CYB046          |
| 46  | The Grapes of Plath                    | CYB045          |
| 44  | A Piece of the Action                  | CYB044          |
| 41  | EcoHaven CSE                           | CYB043          |
| 43  | A World Without Zero                   | CYB042          |
| 42  | The Borg of the Ring                   | CYB041          |
| 37  | The Wedding Scammer                    | CYB040          |
| 38  | The Guilty Party                       | CYB039          |
| 39  | A Time to Cook                         | CYB038          |
| 36  | Raising the Bar                        | CYB037          |
| 35  | Double Trouble                         | CYB036          |
| 34  | A Whale of a Tale                      | CYB035          |
| 40  | Trick or Treat                         | CYB034          |
| 32  | Mother's Day                           | CYB033          |
| 33  | The Eye of Rom                         | CYB032          |
| 31  | All the Right Angles                   | CYB031          |
| 28  | Totally Rad                            | CYB030          |
| 27  | Hugs & Witches                         | CYB029          |
| 30  | True Colors                            | CYB028          |
| 29  | Harriet Hippo & the Mean Green         | CYB027          |
| 25  | A Battle of Equals                     | CYB026          |
| 24  | Size Me Up                             | CYB025          |
| 23  | Fortress of Attitude                   | CYB024          |
| 22  | Model Behavior                         | CYB023          |
| 26  | Out of Sync                            | CYB022          |
| 20  | Trading Places                         | CYB021          |
| 19  | Send in the Clones                     | CYB020          |
| 16  | Codename: Icky                         | CYB019          |
| 12  | Of All The Luck                        | CYB018          |
| 15  | Find Those Gleamers                    | CYB017          |
| 18  | Problem Solving in Shangri-La          | CYB016          |
| 13  | Eureeka                                | CYB015          |
| 14  | Cool It                                | CYB014          |
| 21  | Less Than Zero                         | CYB013          |
| 17  | Return to Sensible Flats               | CYB012          |
| 11  | A Day at the Spa                       | CYB011          |
| 2   | Castleblanca                           | CYB010          |
| 9   | Clock Like An Egyptian                 | CYB009          |
| 10  | Secrets of Symmetria                   | CYB008          |
| 4   | Snow Day to be Exact                   | CYB007          |
| 7   | The Poddleville Case                   | CYB006          |
| 5   | Sensible Flats                         | CYB005          |
| 3   | R-Fair City                            | CYB004          |
| 8   | And They Counted Happily Ever After    | CYB003          |
| 6   | Zeus on the Loose                      | CYB002          |
| 1   | Lost My Marbles                        | CYB001          |
+-----+----------------------------------------+-----------------+
