+----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+------------------+-------------+----------------+
| id | first_name | last_name | bats | throws | weight | height |   debut    | final_game | birth_year | birth_month | birth_day |    birth_city    | birth_state | birth_country  |
| 30 | Fred       | Waterman  | NULL | NULL   | 148    | 67     | 1871-05-05 | 1875-09-23 | 1845       | NULL        | NULL      | New York         | NY          | USA            |
| 31 | George     | Hall      | L    | L      | 142    | 67     | 1871-05-05 | 1877-10-06 | 1849       | 3           | 29        | Stepney          | London      | United Kingdom |
| 32 | George     | Wright    | R    | R      | 150    | 69     | 1871-05-05 | 1882-10-02 | 1847       | 1           | 28        | New York         | NY          | USA            |
| 33 | Harry      | Berthrong | NULL | NULL   | 140    | 66     | 1871-05-05 | 1871-07-04 | 1844       | 1           | 1         | Mumford          | NY          | USA            |
| 34 | Harry      | Schafer   | R    | R      | 143    | 69     | 1871-05-05 | 1878-08-31 | 1846       | 8           | 14        | Philadelphia     | PA          | USA            |
| 35 | Harry      | Wright    | R    | R      | 157    | 69     | 1871-05-05 | 1877-09-29 | 1835       | 1           | 10        | Sheffield        | NULL        | United Kingdom |
| 36 | Henry      | Burroughs | NULL | NULL   | 147    | 68     | 1871-05-05 | 1872-05-07 | 1845       | 2           | 3         | Newark           | NJ          | USA            |
| 37 | Ross       | Barnes    | R    | R      | 145    | 68     | 1871-05-05 | 1881-09-21 | 1850       | 5           | 8         | Mount Morris     | NY          | USA            |
| 38 | Bob        | Addy      | L    | L      | 160    | 68     | 1871-05-06 | 1877-10-06 | 1842       | 2           | NULL      | Port Hope        | ON          | CAN            |
| 39 | Cap        | Anson     | R    | R      | 227    | 72     | 1871-05-06 | 1897-10-03 | 1852       | 4           | 17        | Marshalltown     | IA          | USA            |
| 40 | Cherokee   | Fisher    | R    | R      | 164    | 69     | 1871-05-06 | 1878-07-09 | 1844       | 11          | NULL      | Philadelphia     | PA          | USA            |
| 41 | Denny      | Mack      | R    | R      | 164    | 67     | 1871-05-06 | 1883-09-27 | 1850       | 3           | 14        | Mauch Chunk      | PA          | USA            |
| 42 | Gat        | Stires    | L    | R      | 180    | 68     | 1871-05-06 | 1871-09-15 | 1849       | 10          | 13        | Hunterdon County | NJ          | USA            |
| 43 | George     | Bird      | R    | R      | 150    | 69     | 1871-05-06 | 1871-09-15 | 1850       | 6           | 23        | Stillman Valley  | IL          | USA            |
| 44 | Pony       | Sager     | NULL | NULL   | 140    | 66     | 1871-05-06 | 1871-05-30 | 1848       | 8           | 12        | Holmesburg       | PA          | USA            |
| 45 | Ralph      | Ham       | NULL | NULL   | 158    | 68     | 1871-05-06 | 1871-09-15 | 1849       | 3           | NULL      | Troy             | NY          | USA            |
| 46 | Scott      | Hastings  | R    | R      | 161    | 68     | 1871-05-06 | 1877-09-01 | 1847       | 8           | 10        | Hillsboro        | OH          | USA            |
| 47 | Charlie    | Hodes     | NULL | R      | 175    | 71     | 1871-05-08 | 1874-07-13 | 1848       | NULL        | NULL      | New York         | NY          | USA            |
| 48 | Ed         | Duffy     | NULL | R      | 152    | 67     | 1871-05-08 | 1871-10-30 | 1844       | NULL        | NULL      | NULL             | NULL        | Ireland        |
| 49 | Ed         | Pinkham   | L    | L      | 142    | 67     | 1871-05-08 | 1871-09-18 | 1846       | 8           | NULL      | Brooklyn         | NY          | USA            |
| 50 | George     | Zettlein  | R    | R      | 162    | 69     | 1871-05-08 | 1876-09-16 | 1844       | 7           | 12        | Williamsburg     | NY          | USA            |
+----+------------+-----------+------+--------+--------+--------+------------+------------+------------+-------------+-----------+------------------+-------------+----------------+
